Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/

Estimated robbery rate
Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1982,         112.0,         133.8,         158.6,          78.8,         372.1,         150.6,         208.5,         122.4,         297.6,         154.6,         156.9,          30.3,         346.8,         109.0,          36.2,          87.0,          97.3,         212.6,          30.5,         360.5,         213.8,         271.1,         101.3,          73.0,         193.0,          33.1,          61.9,         419.6,          33.9,         307.6,         126.2,         610.7,          85.9,          12.7,         183.6,         132.8,         167.3,         175.4,         114.7,         122.4,          17.1,         175.7,         220.0,          86.5,          23.1,         122.2,         117.9,          49.8,          71.2,          34.3
1983,          98.4,          97.1,         132.4,          69.3,         340.9,         126.4,         200.6,         115.3,         263.4,         144.2,         130.0,          27.3,         318.9,          99.9,          41.0,          84.0,          87.1,         190.0,          27.1,         347.4,         208.5,         285.3,          79.6,          63.8,         167.9,          23.5,          49.8,         307.2,          24.1,         269.0,         114.0,         536.5,          79.6,           7.8,         159.4,         128.7,         170.3,         172.3,         112.9,         104.9,          15.9,         172.8,         189.3,          64.3,          27.8,         110.5,         105.4,          44.2,          71.9,          29.8
1984,          96.1,         109.4,         131.1,          67.6,         327.5,         114.0,         190.5,         116.0,         276.2,         144.1,         115.9,          24.4,         303.8,          98.9,          38.3,          71.6,          70.7,         190.5,          26.4,         301.1,         174.6,         306.7,          71.1,          60.5,         140.8,          27.4,          43.2,         279.0,          23.2,         242.4,         130.3,         506.9,          74.8,           7.7,         145.6,         111.2,         168.6,         148.4,         113.4,         103.3,          14.9,         166.8,         178.5,          58.0,          23.0,         102.3,         120.6,          38.1,          66.4,          23.1
1985,         105.4,          92.9,         146.5,          68.5,         327.7,         124.2,         190.0,         124.3,         312.4,         164.2,          99.4,          26.8,         287.1,          92.1,          41.2,          78.7,          75.7,         190.3,          24.4,         302.2,         188.5,         292.4,          85.8,          62.6,         147.6,          20.9,          48.5,         274.9,          26.7,         255.0,         138.1,         504.4,          78.2,           6.4,         133.1,         106.8,         185.6,         147.0,         115.9,          93.9,          17.1,         180.9,         193.5,          55.2,          20.9,         100.2,         132.0,          37.6,          70.2,          20.0
1986,         111.6,          88.0,         169.2,          79.7,         342.9,         144.8,         192.2,         124.2,         366.8,         213.9,         106.3,          21.3,         325.3,          90.0,          42.0,          79.6,          82.5,         223.8,          27.9,         304.0,         192.7,         301.3,         102.0,          64.6,         170.2,          19.5,          51.1,         286.9,          23.6,         268.7,         129.5,         514.1,          87.7,           6.9,         142.1,         106.5,         205.9,         152.1,         118.7,          99.5,          16.2,         207.7,         239.9,          58.6,          22.2,         105.7,         135.1,          41.0,          72.8,          22.5
1987,         112.2,          73.1,         138.4,          79.1,         301.3,         118.8,         178.1,         122.5,         356.6,         209.2,          98.0,          24.2,         314.3,          88.6,          36.2,          82.1,          90.2,         179.0,          25.6,         290.3,         177.3,         276.5,         102.5,          57.0,         164.1,          24.2,          47.1,         272.5,          26.5,         232.8,         108.3,         503.3,          93.9,           7.6,         153.1,         109.5,         196.0,         144.4,         107.7,         101.1,          12.3,         193.8,         226.7,          52.8,          16.8,         105.8,         141.4,          31.2,          66.4,          20.0
1988,         117.8,          72.9,         137.0,          84.1,         305.8,          98.8,         187.6,         118.8,         403.3,         243.6,          84.1,          20.2,         312.7,          89.0,          39.9,          85.9,          74.3,         209.0,          25.8,         301.3,         176.3,         241.1,          94.7,          77.2,         168.1,          22.6,          56.1,         291.2,          21.1,         245.2,         103.1,         544.4,         108.6,           8.1,         161.4,         105.1,         193.0,         138.1,         115.2,         124.7,          12.2,         173.6,         234.2,          54.1,          16.0,         112.5,         145.9,          34.2,          67.1,          15.1
1989,         133.9,          67.6,         139.0,         110.6,         331.8,          90.0,         214.8,         138.8,         404.0,         271.1,          83.2,          15.0,         335.7,         101.4,          39.0,          99.8,          76.1,         237.3,          24.0,         332.1,         202.6,         222.3,          94.8,          78.3,         195.0,          17.0,          52.0,         250.6,          23.8,         273.3,         105.2,         579.3,         133.5,           9.2,         170.9,         126.2,         151.8,         149.7,         112.4,         130.2,          11.7,         160.4,         223.1,          52.6,          18.0,         106.5,         140.1,          42.7,          75.2,          17.1
1990,         143.7,          76.7,         160.9,         113.2,         377.0,          90.6,         234.8,         164.8,         416.8,         263.5,          91.4,          15.0,         394.0,         101.3,          39.2,         117.6,          69.1,         269.8,          25.1,         363.8,         217.1,         234.0,          92.7,          86.2,         216.4,          21.7,          51.1,         238.3,          27.2,         301.0,         115.1,         624.7,         152.1,           7.8,         188.5,         121.9,         144.3,         176.2,         122.0,         152.4,          12.4,         191.2,         260.8,          56.9,          11.7,         123.3,         130.0,          37.9,         112.7,          15.9
1991,         152.8,         113.2,         165.7,         135.6,         411.3,         107.4,         224.4,         214.7,         399.8,         268.2,          86.9,          20.7,         456.1,         116.0,          45.0,         138.4,          83.1,         278.9,          22.7,         407.1,         194.6,         243.3,          98.0,         116.3,         251.1,          18.6,          54.0,         312.5,          33.0,         293.1,         120.3,         622.1,         178.0,           8.0,         215.2,         128.9,         150.1,         193.9,         122.9,         171.1,          18.8,         212.9,         286.5,          55.1,          11.8,         137.6,         145.5,          43.3,         119.0,          17.2
