Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/

Estimated murder rate
Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1980,          13.2,           8.9,          10.3,           9.2,          14.5,           6.9,           4.7,           6.9,          14.5,          13.8,           8.7,           3.1,          10.6,           8.9,           2.2,           6.9,           8.8,          15.7,           2.8,           9.5,           4.1,          10.2,           2.6,          14.5,          11.1,           4.0,           4.4,          20.0,           2.5,           6.9,          13.1,          12.7,          10.6,           1.2,           8.1,          10.0,           5.1,           6.8,           4.4,          11.4,            .7,          10.8,          16.9,           3.8,           2.2,           8.6,           5.5,           7.1,           2.9,           6.2
1981,          11.9,          14.6,           8.1,           9.1,          13.0,           8.1,           5.4,           6.7,          15.0,          17.2,           4.8,           4.5,          10.5,           7.1,           2.6,           6.3,           8.4,          15.6,           3.2,           9.9,           3.6,           9.4,           2.1,          12.6,          10.4,           3.4,           3.1,          17.5,           2.9,           7.3,          11.4,          12.3,           9.1,           2.3,           7.4,           9.0,           4.4,           6.1,           4.2,          10.4,           1.8,           9.7,          16.6,           3.3,           4.3,           8.6,           5.1,           6.0,           3.4,           5.5
1982,          10.6,          18.5,           8.3,           8.2,          11.2,           6.0,           5.2,           5.3,          13.5,          12.6,           3.1,           2.5,           8.8,           6.5,           2.3,           5.7,           9.7,          16.0,           2.1,          10.1,           3.8,           9.1,           2.3,          14.0,           9.7,           3.9,           2.0,          13.6,           2.2,           6.5,          11.6,          11.4,           9.1,            .7,           6.3,          10.8,           5.1,           5.7,           3.7,          10.9,           2.7,           9.7,          16.1,           3.4,           2.3,           7.4,           4.4,           5.2,           3.1,           9.2
1983,           9.2,          13.8,           7.2,           7.6,          10.5,           6.4,           4.1,           4.1,          11.2,           8.4,           5.6,           3.5,           9.7,           5.2,           2.3,           5.6,           9.8,          14.2,           2.1,           8.5,           3.5,          10.0,           1.7,          11.2,           8.1,           3.7,           2.6,          12.8,           2.0,           5.3,           8.9,          11.1,           8.1,           2.1,           5.6,           7.6,           4.1,           4.9,           2.7,           9.8,           2.1,           8.8,          14.2,           3.5,           3.6,           7.0,           4.9,           4.9,           2.8,           5.8
1984,           9.4,          11.6,           7.8,           7.5,          10.6,           5.8,           3.9,           4.1,          11.5,           9.4,           3.3,           3.4,           9.0,           5.5,           2.0,           3.7,           6.6,          12.9,           1.7,           8.1,           3.6,           9.7,           1.8,           9.7,           7.1,           4.4,           3.4,          10.8,           1.0,           5.3,           9.1,          10.1,           8.7,           1.2,           5.1,           7.8,           4.8,           4.5,           3.4,           9.2,           1.8,           8.4,          13.1,           2.8,           2.3,           7.7,           4.6,           4.4,           2.5,           3.3
1985,           9.8,           9.8,           8.0,           7.9,          10.5,           5.8,           3.8,           4.8,          11.4,          10.4,           4.1,           2.2,           8.0,           5.8,           1.9,           4.9,           6.9,          10.9,           2.4,           7.9,           3.5,          11.2,           2.1,          10.6,           8.1,           5.8,           2.9,          10.3,           2.1,           5.4,          10.9,           9.5,           8.3,           1.0,           5.2,           7.7,           4.7,           4.6,           3.6,           9.1,           1.8,           9.0,          13.0,           3.0,           3.4,           7.1,           5.2,           3.8,           2.8,           4.3
1986,          10.1,           8.6,           9.3,           8.1,          11.3,           7.0,           4.6,           4.9,          11.7,          11.2,           4.8,           3.2,           8.9,           6.0,           1.8,           4.4,           6.7,          12.8,           2.0,           9.0,           3.6,          11.3,           2.5,          11.2,           9.2,           2.9,           3.1,          12.6,           2.2,           5.2,          11.5,          10.7,           8.1,           1.0,           5.5,           8.1,           6.6,           5.5,           3.5,           8.6,           4.0,          10.4,          13.5,           3.2,           2.0,           7.1,           5.0,           5.9,           3.1,           5.3
1987,           9.3,          10.1,           7.5,           7.6,          10.6,           5.8,           4.9,           5.1,          11.4,          11.8,           4.8,           3.1,           8.3,           5.6,           2.1,           4.4,           7.5,          11.1,           2.5,           9.6,           3.0,          12.2,           2.6,          10.2,           8.3,           4.1,           3.5,           8.4,           3.0,           4.6,          10.1,          11.3,           8.1,           1.5,           5.8,           7.5,           5.6,           5.4,           3.5,           9.3,           1.8,           9.1,          11.7,           3.3,           2.7,           7.4,           5.6,           4.8,           3.5,           2.0
1988,           9.9,           5.7,           8.5,           8.7,          10.4,           5.7,           5.4,           5.2,          11.4,          11.7,           4.0,           3.6,           8.6,           6.4,           1.7,           3.4,           6.2,          11.6,           3.1,           9.7,           3.5,          10.8,           2.9,           8.6,           8.0,           2.6,           3.6,          10.5,           2.3,           5.3,          11.5,          12.5,           7.8,           1.8,           5.4,           7.4,           5.1,           5.5,           4.1,           9.3,           3.1,           9.4,          12.1,           2.8,           2.0,           7.8,           5.7,           4.9,           3.0,           2.5
1989,          10.2,           8.0,           6.7,           8.4,          10.9,           4.4,           5.9,           5.1,          11.1,          12.7,           4.8,           2.6,           9.0,           6.3,           1.9,           5.5,           7.9,          14.9,           3.2,          11.6,           4.3,          10.7,           2.5,           9.7,           7.9,           2.9,           2.5,           8.2,           3.3,           5.1,           8.6,          12.5,           8.9,            .6,           6.0,           6.5,           4.8,           6.3,           4.9,           9.1,           1.3,           8.4,          11.9,           2.6,           1.9,           7.9,           4.4,           6.5,           3.6,           4.4
1990,          11.6,           7.5,           7.7,          10.3,          11.9,           4.2,           5.1,           5.0,          10.7,          11.8,           4.0,           2.7,          10.3,           6.2,           1.9,           4.0,           7.2,          17.2,           2.4,          11.5,           4.0,          10.4,           2.7,          12.2,           8.8,           4.9,           2.7,           9.7,           1.9,           5.6,           9.2,          14.5,          10.7,            .8,           6.1,           8.0,           3.8,           6.7,           4.8,          11.2,           2.0,          10.5,          14.1,           3.0,           2.3,           8.8,           4.9,           5.7,           4.6,           4.9
