Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/

Estimated forcible rape rate
Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1993,          35.1,          83.8,          37.8,          42.4,          37.7,          45.8,          24.4,          77.0,          53.8,          35.4,          33.6,          35.3,          34.6,          39.1,          24.4,          40.1,          34.3,          42.3,          26.6,          44.0,          33.4,          71.1,          61.9,          42.6,          36.2,          27.9,          27.8,          60.9,          44.4,          28.1,          52.1,          27.5,          34.3,          23.5,          49.1,          49.3,          51.3,          26.5,          28.6,          52.3,          44.5,          49.9,          55.0,          44.6,          39.8,          32.1,          64.4,          20.1,          25.2,          34.3
1994,          35.2,          69.0,          36.0,          41.9,          34.9,          43.2,          24.6,          77.3,          52.3,          34.7,          30.4,          27.9,          33.3,          35.6,          23.5,          41.3,          35.3,          44.6,          25.6,          40.7,          30.2,          70.8,          59.7,          45.4,          37.0,          27.2,          30.8,          68.7,          35.8,          24.9,          52.4,          25.9,          33.0,          23.4,          47.1,          49.6,          43.2,          26.1,          27.4,          54.3,          42.0,          49.2,          49.5,          42.2,          27.6,          28.5,          60.5,          20.3,          23.5,          33.6
1995,          31.7,          80.3,          33.6,          37.2,          33.4,          39.5,          23.7,          80.2,          48.6,          35.3,          28.3,          28.4,          36.5,          33.3,          21.8,          36.6,          31.9,          42.7,          21.4,          42.2,          29.0,          62.0,          56.2,          39.1,          32.1,          26.6,          19.4,          61.2,          29.0,          24.3,          56.6,          23.7,          32.2,          22.8,          43.4,          44.6,          41.7,          25.2,          27.0,          47.3,          41.0,          47.1,          45.7,          42.7,          28.2,          27.2,          59.2,          21.2,          23.3,          34.4
1996,          33.0,          65.6,          31.2,          41.7,          32.1,          46.2,          23.1,          62.6,          52.1,          32.1,          27.5,          26.3,          38.4,          34.1,          19.7,          42.6,          31.7,          41.5,          20.9,          37.6,          29.0,          57.0,          50.0,          36.1,          29.2,          27.1,          27.1,          53.4,          34.8,          24.7,          63.5,          23.0,          31.3,          24.1,          41.3,          46.8,          39.7,          25.2,          29.0,          49.2,          41.0,          46.5,          43.8,          41.8,          27.0,          26.7,          51.1,          19.6,          21.0,          29.1
1997,          32.3,          66.2,          32.8,          43.5,          31.6,          43.1,          22.6,          58.5,          51.9,          31.1,          31.3,          28.9,          37.1,          32.9,          20.3,          45.4,          33.4,          41.3,          20.5,          35.6,          26.9,          51.9,          52.2,          39.0,          28.2,          19.5,          24.5,          59.9,          33.7,          21.5,          50.4,          22.5,          31.6,          24.8,          40.8,          45.7,          40.3,          27.4,          36.8,          48.9,          48.4,          56.9,          41.2,          47.5,          26.5,          27.0,          51.4,          19.5,          20.3,          28.5
1998,          33.2,          68.6,          31.1,          35.2,          29.9,          47.4,          22.2,          67.1,          49.6,          30.4,          29.5,          31.4,          34.0,          33.1,          25.4,          42.9,          28.1,          36.8,          18.1,          33.4,          27.4,          50.4,          49.9,          37.3,          26.9,          26.7,          25.1,          52.1,          33.8,          20.0,          55.1,          21.1,          30.6,          33.2,          40.5,          45.2,          39.8,          26.9,          35.5,          45.7,          35.0,          45.8,          40.0,          38.4,          27.6,          26.7,          48.2,          18.7,          19.9,          27.7
1999,          34.6,          83.5,          28.9,          27.8,          28.2,          41.4,          19.9,          70.2,          46.3,          29.8,          29.9,          33.3,          35.4,          27.0,          27.2,          40.1,          29.0,          33.1,          19.1,          30.0,          26.9,          49.2,          42.7,          41.8,          26.3,          33.2,          24.8,          52.1,          28.7,          17.3,          54.3,          19.6,          28.2,          22.4,          36.7,          40.9,          36.8,          27.3,          39.5,          40.8,          45.8,          44.0,          38.0,          37.8,          22.9,          25.0,          47.1,          18.7,          20.1,          28.6
2000,          33.3,          79.3,          30.7,          31.7,          28.9,          41.2,          19.9,          54.1,          44.2,          24.0,          28.6,          29.7,          31.6,          28.9,          23.1,          38.0,          27.0,          33.5,          25.1,          29.1,          26.7,          50.6,          45.5,          35.8,          24.1,          34.1,          25.5,          43.0,          42.2,          16.1,          50.7,          18.6,          27.1,          26.3,          37.6,          41.2,          37.6,          26.4,          39.3,          41.4,          40.4,          38.4,          37.7,          38.6,          23.0,          22.8,          46.4,          18.3,          21.7,          32.4
2001,          30.6,          79.1,          28.6,          33.1,          28.8,          43.6,          18.6,          52.7,          40.6,          25.9,          33.3,          32.2,          32.0,          28.0,          22.1,          35.0,          25.8,          31.4,          25.4,          26.9,          29.0,          52.6,          44.9,          40.1,          24.5,          20.8,          25.1,          42.1,          36.4,          15.0,          46.4,          18.6,          25.4,          25.8,          39.2,          42.8,          33.8,          28.2,          39.3,          43.5,          46.3,          38.2,          38.2,          39.3,          17.5,          24.6,          43.4,          17.8,          21.1,          31.0
2002,          37.2,          79.7,          29.6,          27.9,          29.1,          45.9,          21.4,          44.4,          40.5,          24.7,          30.0,          37.0,          34.7,          29.9,          27.1,          38.2,          26.6,          34.2,          29.1,          25.1,          27.7,          53.4,          45.2,          39.3,          25.8,          26.0,          26.9,          42.8,          35.0,          15.9,          55.5,          20.3,          26.4,          25.7,          42.2,          45.1,          35.2,          30.3,          37.0,          47.7,          47.5,          39.6,          39.1,          40.7,          20.4,          25.2,          45.1,          18.2,          22.7,          29.7
