Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/

Estimated motor vehicle theft rate
Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1981,         284.2,         690.5,         410.0,         186.6,         672.9,         413.9,         602.6,         430.1,         449.7,         334.6,         430.1,         214.3,         610.5,         339.3,         223.2,         255.1,         235.0,         362.0,         193.8,         433.7,         999.3,         635.2,         251.8,         181.3,         381.4,         280.4,         207.5,         594.8,         240.9,         683.3,         355.1,         777.8,         198.1,         164.7,         424.8,         418.2,         340.4,         369.2,         863.9,         275.4,         144.1,         334.1,         564.6,         294.3,         293.4,         201.9,         319.2,         188.4,         217.2,         291.3
1982,         273.3,         594.3,         369.8,         186.0,         665.5,         397.3,         552.2,         411.6,         429.8,         311.7,         420.6,         174.9,         599.0,         326.6,         173.7,         222.5,         233.1,         335.6,         190.6,         392.1,         968.6,         691.7,         237.6,         153.6,         335.8,         258.4,         177.9,         564.9,         223.7,         626.8,         314.9,         780.8,         184.5,         140.3,         381.7,         488.9,         301.0,         332.2,         735.7,         277.7,         118.4,         332.0,         570.1,         251.5,         254.8,         184.1,         280.8,         183.1,         182.7,         249.8
1983,         230.5,         643.8,         357.0,         173.7,         631.2,         372.7,         478.9,         339.3,         404.8,         280.0,         420.0,         170.6,         569.0,         322.1,         157.9,         201.0,         215.2,         310.6,         167.5,         364.5,         858.9,         737.6,         209.0,         142.1,         317.5,         228.9,         161.4,         471.4,         182.1,         604.3,         306.3,         723.7,         166.5,         129.1,         344.6,         446.7,         302.8,         315.2,         651.8,         239.8,         102.9,         316.5,         524.9,         235.7,         186.9,         177.7,         253.0,         181.6,         204.3,         166.1
1984,         233.6,         628.8,         384.5,         167.6,         629.6,         397.3,         422.8,         260.4,         426.7,         292.3,         349.9,         150.7,         585.6,         351.0,         158.4,         206.8,         180.2,         307.5,         161.4,         397.2,         840.0,         865.9,         206.6,         144.5,         329.7,         270.6,         144.0,         495.5,         188.6,         574.6,         320.5,         650.6,         178.3,         110.8,         362.5,         457.7,         296.4,         339.8,         691.9,         238.5,         109.3,         366.4,         549.1,         226.7,         154.7,         183.4,         247.4,         172.5,         235.1,         153.6
1985,         258.5,         606.3,         385.5,         178.4,         672.2,         432.9,         441.3,         273.3,         525.5,         369.0,         282.7,         182.0,         590.9,         328.5,         153.4,         216.4,         193.2,         382.3,         165.1,         461.0,         864.8,         827.8,         261.9,         156.0,         364.8,         275.3,         156.0,         496.4,         198.6,         664.3,         345.7,         599.1,         191.0,         118.2,         352.7,         566.5,         357.6,         328.2,         652.9,         259.2,         101.8,         485.2,         608.0,         236.7,         163.9,         196.7,         288.9,         167.3,         221.6,         173.5
1986,         267.0,         603.7,         418.8,         194.9,         762.0,         486.0,         447.1,         271.9,         598.1,         430.3,         328.2,         181.3,         628.3,         327.5,         158.3,         258.0,         193.2,         441.6,         164.2,         545.2,         906.5,         800.4,         288.1,         150.1,         438.9,         214.9,         167.6,         477.7,         227.7,         775.5,         343.3,         637.2,         208.3,         119.9,         375.7,         649.2,         401.5,         354.4,         704.7,         276.6,          98.7,         543.6,         714.1,         223.2,         181.1,         219.5,         314.5,         169.2,         253.8,         168.6
1987,         262.8,         486.3,         422.6,         206.5,         830.1,         436.3,         529.0,         311.6,         676.7,         492.4,         366.0,         167.4,         539.5,         354.5,         151.1,         253.2,         192.7,         412.5,         173.4,         581.8,         924.2,         752.0,         301.4,         160.5,         426.3,         237.8,         165.9,         555.0,         216.5,         845.4,         345.5,         703.1,         223.8,         123.2,         382.9,         604.9,         465.1,         349.2,         783.5,         280.8,          95.6,         566.9,         734.8,         209.5,         198.5,         254.4,         395.2,         161.7,         246.5,         138.6
1988,         266.7,         455.0,         459.1,         212.9,         944.0,         422.0,         614.0,         303.2,         765.1,         554.6,         364.0,         176.3,         605.3,         353.5,         162.2,         242.5,         185.5,         450.9,         204.7,         672.1,         892.5,         741.1,         339.3,         166.4,         434.4,         216.4,         188.8,         599.2,         227.7,         894.4,         389.9,         859.9,         250.4,         118.6,         399.2,         556.3,         594.4,         426.8,         827.9,         304.7,          95.5,         542.8,         800.1,         215.7,         197.3,         301.6,         432.9,         161.7,         269.2,         142.5
1989,         297.5,         455.0,         686.9,         265.6,       1026.9,         452.9,         697.8,         391.1,         805.7,         653.7,         396.6,         158.8,         607.4,         391.1,         158.3,         297.4,         219.8,         521.3,         183.2,         664.2,         910.7,         722.6,         379.9,         179.2,         523.6,         225.6,         186.2,         579.6,         244.0,         919.2,         349.9,         952.7,         285.3,         113.0,         435.3,         585.5,         540.1,         469.4,         924.1,         342.1,         109.0,         532.9,         888.5,         237.6,         198.9,         310.9,         457.6,         156.8,         331.7,         137.3
1990,         347.8,         565.4,         863.5,         289.4,       1015.5,         428.4,         730.9,         443.9,         826.3,         673.6,         380.5,         165.5,         642.8,         439.0,         169.9,         335.4,         199.4,         601.7,         176.6,         708.7,         923.6,         713.7,         365.6,         207.6,         539.4,         242.5,         178.2,         592.5,         244.0,         939.5,         336.7,       1042.7,         283.7,         133.1,         490.6,         601.7,         458.6,         505.5,         954.4,         385.8,         110.2,         571.5,         909.0,         237.7,         207.9,         327.5,         447.1,         153.9,         416.5,         149.0
1991,         363.4,         533.9,         861.1,         341.4,       1038.9,         426.4,         795.7,         375.1,         783.6,         611.3,         336.0,         178.3,         655.3,         464.8,         170.7,         351.0,         214.6,         573.4,         163.3,         730.8,         918.7,         679.7,         363.4,         286.3,         558.5,         206.3,         212.6,         652.3,         220.3,         925.9,         346.3,       1003.9,         299.3,         126.8,         500.4,         556.6,         474.4,         481.5,         794.1,         387.1,         114.9,         613.6,         944.3,         241.0,         144.4,         338.6,         444.5,         174.9,         436.4,         154.6
1992,         362.3,         497.1,         821.5,         329.3,       1037.1,         509.0,         722.3,         306.1,         828.0,         576.4,         375.1,         157.4,         618.8,         450.3,         159.1,         323.8,         216.5,         628.1,         144.0,         726.4,         790.5,         625.8,         355.2,         336.5,         497.4,         233.4,         200.8,         697.4,         194.9,         815.6,         377.9,         932.3,         286.6,         149.4,         471.0,         516.8,         533.5,         467.7,         742.6,         345.4,         101.1,         575.9,         821.7,         237.9,         105.3,         305.6,         471.5,         163.8,         431.5,         150.4
1993,         337.8,         450.9,         863.8,         322.5,       1023.0,         450.3,         595.5,         315.3,         895.7,         593.8,         450.8,         183.4,         558.7,         428.1,         190.8,         322.7,         216.2,         613.7,         134.4,         683.4,         816.1,         615.0,         342.6,         335.1,         547.7,         246.2,         326.8,         738.3,         194.0,         714.0,         405.1,         835.0,         288.5,         148.7,         435.3,         480.7,         580.7,         440.2,         646.3,         344.0,         114.5,         591.0,         692.3,         242.2,         132.6,         285.5,         456.1,         161.5,         364.7,         154.9
1994,         331.8,         540.4,       1066.7,         315.0,         980.6,         392.9,         615.8,         417.1,         911.5,         557.2,         541.4,         195.1,         563.5,         434.8,         180.1,         328.2,         223.6,         607.6,         143.2,         763.0,         701.0,         656.1,         314.3,         405.0,         512.3,         286.2,         384.2,         759.4,         202.5,         660.0,         504.8,         709.3,         301.9,         151.1,         427.1,         474.6,         705.2,         449.3,         519.9,         359.8,         120.9,         560.3,         602.6,         298.2,         148.6,         279.1,         500.5,         179.7,         360.5,         162.0
1995,         346.6,         521.7,       1157.7,         325.4,         887.9,         387.5,         540.2,         414.2,         785.8,         608.4,         690.7,         242.0,         523.0,         465.7,         222.8,         323.5,         259.1,         598.4,         134.8,         717.6,         604.5,         645.5,         341.5,         360.5,         473.3,         274.6,         351.4,         745.4,         145.1,         631.6,         513.2,         565.7,         310.6,         179.1,         414.9,         496.4,         702.0,         412.7,         440.8,         385.4,         120.9,         648.5,         560.4,         389.1,         135.7,         292.6,         554.0,         166.3,         363.6,         167.7
1996,         366.0,         492.9,         926.7,         312.9,         760.6,         397.8,         489.4,         434.2,         720.6,         628.5,         604.5,         187.5,         490.2,         424.9,         191.1,         248.4,         261.1,         631.6,         142.9,         711.4,         528.2,         700.5,         384.8,         350.8,         447.7,         255.7,         342.0,         698.3,         151.6,         581.3,         582.2,         494.4,         335.5,         190.1,         407.5,         482.9,         531.0,         404.2,         464.3,         428.5,         113.9,         647.1,         548.6,         428.6,         150.3,         278.8,         522.2,         176.9,         345.9,         139.1
